SSN,manager_ID,emp_name,emp_state,emp_city,emp_pincode,emp_address,emp_phonenumber
393075267,8012205532,David,Utah,San Diego,50755,920-6930 Dictum Rd.,9016004407
835550579,6930355689,Alika,Hawaii,Gulfport,54542,"P.O. Box 618, 4090 Libero St.",9802548227
441890035,7295615605,Libby,Delaware,Colorado Springs,36849,Ap #239-3527 Nec Av.,9746748153
132140743,1617345594,Karen,Kentucky,Gulfport,85627,873-9206 Dolor St.,9471610857
680748791,7283796342,Rae,Washington,Denver,85168,"Ap #327-4733 A, St.",9636302978
319781205,5831110614,Cyrus,Louisiana,Bear,36811,Ap #952-6715 Laoreet Road,9484749100
958645575,8947817407,Kasper,Wisconsin,Philadelphia,52335,"P.O. Box 597, 417 Suspendisse Avenue",9320328879
901713190,2145950502,Dante,Pennsylvania,Huntsville,41757,835-9502 Gravida Avenue,8811737587
910905164,7724358537,Veda,Nevada,Carson City,51205,Ap #856-6544 Et St.,8938814951
821197425,6237883290,Malachi,Montana,Olympia,72126,109-1556 Ut Rd.,9853135778
103764797,9851393936,Hayden,Hawaii,Fayetteville,73130,Ap #409-5773 Aliquet St.,8683965903
876556717,9980384724,Nigel,Maryland,Shreveport,54350,6218 Molestie St.,9238169020
617659051,8153431215,Hunter,Oregon,Toledo,76534,Ap #976-2794 Praesent Street,9224481130
864876147,3308262825,Christine,Iowa,Reno,26425,Ap #900-8622 Phasellus Av.,8968942901
619758732,7963683033,Brent,Nebraska,Richmond,53438,Ap #449-347 Metus Rd.,9455968611
561527265,5202357779,Todd,Arizona,Olathe,26317,Ap #232-6348 Nec St.,9159811171
499570336,1367345738,Lunea,Utah,Toledo,75128,"P.O. Box 275, 3807 Mauris Street",9584026532
671088547,8571166655,Holmes,Indiana,Mesa,99747,649-3444 Tincidunt Avenue,9581903124
376320543,4095169082,Justina,Alabama,Honolulu,72117,Ap #310-8914 Sed Road,8960959138
874933077,1976972677,Eagan,Maine,Rockville,86150,Ap #202-4496 Molestie Av.,9371593891
175747149,7864084283,Deborah,Indiana,Virginia Beach,84657,"8982 Risus, Street",8936424126
207365672,6277798981,Cade,Maryland,Huntsville,36829,9962 Molestie Avenue,9217294070
995164199,4332747539,Amethyst,Alabama,Montgomery,73466,560-7512 Vivamus Road,9127315901
217496642,4192173193,Jason,Kansas,Columbus,62623,Ap #350-1379 Accumsan Ave,8817182714
158324151,1715108250,Petra,Massachusetts,Austin,47169,"6970 Montes, Street",9895436390
435736999,7501347463,Katell,Michigan,Olympia,42338,129-7402 Malesuada St.,9227336336
921738845,1479318899,Deirdre,Vermont,Sandy,84532,"Ap #946-1891 Tempus, St.",9984696941
483591038,8789801566,Stephen,Connecticut,Wichita,57332,3934 In Street,8536520549
635215847,7555684838,Quinlan,Virginia,Topeka,93113,"Ap #168-3501 Nec, Road",8675363764
731416579,6149355543,Carl,Maine,Bellevue,78442,"P.O. Box 698, 5291 Quisque Av.",9634451009
746550226,9643149808,Neve,Alaska,Stamford,36545,"P.O. Box 154, 4039 Aliquet Street",9651717041
620537123,7786186828,Jared,California,Great Falls,51685,2874 Tortor. Avenue,8528014657
400030566,9240522575,Wayne,Oklahoma,Kaneohe,18441,982-842 Faucibus Road,9498859122
144406148,2929400452,Colette,Kentucky,Kenosha,94234,"P.O. Box 822, 8336 Dolor St.",8618933829
181233190,2631340097,Rhoda,Utah,Wilmington,43439,439-1067 Sit Road,9703489652
580878815,5366322162,Allen,Maine,New Orleans,52482,"406-5753 Eleifend, St.",9373934039
942773570,5952056247,Melanie,Texas,Columbia,67712,189-3993 Vel Street,8943250804
245700268,3388479371,Hope,Utah,Denver,41312,"P.O. Box 408, 5327 Interdum Avenue",9162322182
887592570,4348343998,Tana,California,Helena,10280,209-7368 Dui Ave,8906568881
262711725,4454625169,Walker,Florida,Columbus,86363,"Ap #195-9660 In, Av.",8685997127
805609337,2993423036,Risa,Florida,South Bend,10952,Ap #382-8166 Interdum Avenue,9219564534
959868972,3775295349,Lisandra,Washington,Los Angeles,73183,"Ap #780-157 Convallis, Ave",9413123750
978444821,8351982866,Hamilton,Wyoming,Kapolei,48426,842-5169 Bibendum Rd.,9395151704
216769791,8523265218,Cade,Missouri,Columbia,36857,"P.O. Box 385, 3131 Non, Rd.",8933380557
